ind - orig,ind - selec,var name,keep,class - org,class - to,var group,multiC risk grps,03-001-01-summary,03-002-01-summary,03-002-02-plots,03-002-03-time/kills,03-002-04-ind,03-003-01-summary,03-003-02-kills,03-003-03-when,03-003-04-where,03-003-05-what,mod-1-logit-varSet01,mod1-linReg-varSet01
1,1,eventid,yes,numeric,integer,NA,NA,did,no,no,no,no,did,no,no,no,no,no,no
2,2,iyear,yes,numeric,numeric,time,NA,did,no,no,did,no,did,no,no,no,no,yes,yes
3,3,imonth,yes,numeric,numeric,time,NA,did,no,no,did,no,did,no,no,no,no,no,no
4,4,iday,yes,numeric,numeric,time,NA,did,no,no,did,no,did,no,no,no,no,no,no
6,5,extended,yes,numeric,factor,type attack,"1,2",did,no,no,no,no,did,no,did-001,no,no,yes,yes
8,6,country,yes,numeric,factor,location,3,did,no,no,no,no,did,no,did-002,do,no,no,no
10,7,region,yes,numeric,factor,location,3,did,no,no,no,no,did,no,no,do,no,yes,yes
20,8,crit1,yes,numeric,factor,inclusion,NA,did,no,no,no,no,did,no,no,no,no,no,no
21,9,crit2,yes,numeric,factor,inclusion,NA,did,no,no,no,no,did,no,no,no,no,no,no
22,10,crit3,yes,numeric,factor,inclusion,NA,did,no,no,no,no,did,no,no,no,no,no,no
23,11,doubtterr,yes,numeric,factor,inclusion,NA,did,no,no,no,no,did,no,no,no,no,no,no
26,12,multiple,yes,numeric,factor,inclusion,1,did,no,no,no,no,did,no,did-003,no,no,yes,yes
27,13,success,yes,numeric,factor,type attack,NA,did,no,no,no,no,did,no,no,no,do,no,no
28,14,suicide,yes,numeric,factor,type attack,"2,4,5,6,7,8",did,no,no,no,no,did,no,did-004,no,do,yes,yes
29,15,attacktype1,yes,numeric,factor,type attack,"4,8",did,no,no,no,no,did,no,did-005,no,do,yes,yes
35,16,targtype1,yes,numeric,factor,type attack,5,did,no,no,no,no,did,no,did-006,no,do,yes,yes
41,17,natlty1,yes,numeric,factor,type attack,,did,no,no,no,no,did,no,did-007,no,do,yes,yes
69,18,nperps,yes,numeric,numeric,type attack,6,did,no,no,no,no,did,no,no,no,do,no,no
71,19,claimed,yes,numeric,factor,type attack,7,did,no,no,no,no,did,no,did-008,no,do,yes,yes
81,20,weaptype1,yes,numeric,factor,type attack,8,did,no,no,no,no,did,no,did-009,no,do,yes,yes
98,21,nkill,yes,numeric,numeric,outcome,NA,did,did,did-001,did,did,did,did-001,no,do,do,nkill!0,in nkill!0: log(nkill)
99,22,nkillus,yes,numeric,numeric,outcome,NA,did,did,did-001,did,did,did,no,no,no,no,no,no
100,23,nkillter,yes,numeric,numeric,outcome,NA,did,did,did-001,did,did,did,no,no,no,no,no,no
5,NA,approxdate,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,resolution,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,country.txt,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,region.txt,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,provstate,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,city,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,latitude,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,longitude,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,specificity,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,vicinity,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,location,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,summary,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,alternative,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,alternative.txt,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,attacktype1.txt,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,attacktype2,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,attacktype2.txt,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,attacktype3,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,attacktype3.txt,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,targtype1.txt,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,targsubtype1,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,targsubtype1.txt,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,corp1,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,target1,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,natlty1.txt,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,targtype2,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,targtype2.txt,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,targsubtype2,no,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
